,0
NTRS_returns,0.002058957495058253
AVY_returns,0.004368458248763619
AFL_returns,0.0025586115473553166
REGN_returns,0.0015930051869626717
DAL_returns,0.0017314873988105502
COO_returns,0.0031203111054460843
CME_returns,0.003288704734252853
BK_returns,0.0012083183688412849
O_returns,0.0024186291233491072
T_returns,0.0012148439350361943
PAYX_returns,0.0030402046168810193
VMC_returns,0.003210531392124404
LUMN_returns,-0.0013737097927212628
APA_returns,0.0009046108986730989
MSFT_returns,0.006149572952580147
HAL_returns,0.0007577284328640427
ALK_returns,0.0015214769648084381
AKAM_returns,0.002229287242558989
APTV_returns,0.004489122776784398
C_returns,0.002052001612225365
CMCSA_returns,0.0026559045284451775
KDP_returns,0.018381340587607282
MPWR_returns,0.007411686455680663
A_returns,0.00411504533142637
MLM_returns,0.003474572777394188
SCHW_returns,0.0030274110040692526
PEG_returns,0.00217451054321023
NVDA_returns,0.012362634094046808
PPG_returns,0.0016501767728971796
GPN_returns,0.005806187097350915
CFG_returns,0.003148100835070076
HST_returns,0.0007880537843296249
MU_returns,0.00521297643752206
DVN_returns,-0.0007765318161984671
TMUS_returns,0.005244711431515472
UHS_returns,0.0020633992442930585
ABBV_returns,0.0034371605258485725
RCL_returns,0.004489733579587344
SNPS_returns,0.006134473082949025
BF-B_returns,0.003287992182796383
PNC_returns,0.002755752319477042
EQIX_returns,0.0047009812991749365
BR_returns,0.004212157011944018
CSCO_returns,0.002476777345462137
CRM_returns,0.005065639584466912
EQT_returns,-0.0017828687392430647
FIS_returns,0.0031309261779877734
ANET_returns,0.006455831047262297
EXPD_returns,0.002891439205728002
TRMB_returns,0.004404669242495924
