DATE,DGS10
2018-12-31,2.69
2019-01-31,2.63
2019-02-28,2.73
2019-03-31,2.41
2019-04-30,2.51
2019-05-31,2.14
2019-06-30,2.0
2019-07-31,2.02
2019-08-31,1.5
2019-09-30,1.68
2019-10-31,1.69
2019-11-30,1.78
2019-12-31,1.92
