Symbol,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
CAG,0,0,1,0,0,0,0,0,0,0,0
COP,0,0,0,1,0,0,0,0,0,0,0
ED,0,0,0,0,0,0,0,0,0,0,1
STZ,0,0,1,0,0,0,0,0,0,0,0
COO,0,0,0,0,0,1,0,0,0,0,0
CPRT,0,0,0,0,0,0,1,0,0,0,0
GLW,0,0,0,0,0,0,0,1,0,0,0
CSGP,0,0,0,0,0,0,1,0,0,0,0
COST,0,0,1,0,0,0,0,0,0,0,0
CTRA,0,0,0,1,0,0,0,0,0,0,0
CCI,0,0,0,0,0,0,0,0,0,1,0
CSX,0,0,0,0,0,0,1,0,0,0,0
CMI,0,0,0,0,0,0,1,0,0,0,0
CVS,0,0,0,0,0,1,0,0,0,0,0
DHI,0,1,0,0,0,0,0,0,0,0,0
DHR,0,0,0,0,0,1,0,0,0,0,0
DRI,0,1,0,0,0,0,0,0,0,0,0
DVA,0,0,0,0,0,1,0,0,0,0,0
DE,0,0,0,0,0,0,1,0,0,0,0
DAL,0,0,0,0,0,0,1,0,0,0,0
XRAY,0,0,0,0,0,1,0,0,0,0,0
DVN,0,0,0,1,0,0,0,0,0,0,0
DXCM,0,0,0,0,0,1,0,0,0,0,0
FANG,0,0,0,1,0,0,0,0,0,0,0
DLR,0,0,0,0,0,0,0,0,0,1,0
DFS,0,0,0,0,1,0,0,0,0,0,0
DISH,1,0,0,0,0,0,0,0,0,0,0
DIS,1,0,0,0,0,0,0,0,0,0,0
DG,0,1,0,0,0,0,0,0,0,0,0
DLTR,0,1,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,1
DPZ,0,1,0,0,0,0,0,0,0,0,0
DOV,0,0,0,0,0,0,1,0,0,0,0
DTE,0,0,0,0,0,0,0,0,0,0,1
DUK,0,0,0,0,0,0,0,0,0,0,1
DD,0,0,0,0,0,0,0,0,1,0,0
DXC,0,0,0,0,0,0,0,1,0,0,0
EMN,0,0,0,0,0,0,0,0,1,0,0
ETN,0,0,0,0,0,0,1,0,0,0,0
EBAY,0,1,0,0,0,0,0,0,0,0,0
ECL,0,0,0,0,0,0,0,0,1,0,0
EIX,0,0,0,0,0,0,0,0,0,0,1
EW,0,0,0,0,0,1,0,0,0,0,0
EA,1,0,0,0,0,0,0,0,0,0,0
ELV,0,0,0,0,0,1,0,0,0,0,0
LLY,0,0,0,0,0,1,0,0,0,0,0
EMR,0,0,0,0,0,0,1,0,0,0,0
ENPH,0,0,0,0,0,0,0,1,0,0,0
ETR,0,0,0,0,0,0,0,0,0,0,1
EOG,0,0,0,1,0,0,0,0,0,0,0
