,NTRS_returns_volatility,AVY_returns_volatility,AFL_returns_volatility,REGN_returns_volatility,DAL_returns_volatility,COO_returns_volatility,CME_returns_volatility,BK_returns_volatility,O_returns_volatility,T_returns_volatility,PAYX_returns_volatility,VMC_returns_volatility,LUMN_returns_volatility,APA_returns_volatility,MSFT_returns_volatility,HAL_returns_volatility,ALK_returns_volatility,AKAM_returns_volatility,APTV_returns_volatility,C_returns_volatility,CMCSA_returns_volatility,KDP_returns_volatility,MPWR_returns_volatility,A_returns_volatility,MLM_returns_volatility,SCHW_returns_volatility,PEG_returns_volatility,NVDA_returns_volatility,PPG_returns_volatility,GPN_returns_volatility,CFG_returns_volatility,HST_returns_volatility,MU_returns_volatility,DVN_returns_volatility,TMUS_returns_volatility,UHS_returns_volatility,ABBV_returns_volatility,RCL_returns_volatility,SNPS_returns_volatility,BF-B_returns_volatility,PNC_returns_volatility,EQIX_returns_volatility,BR_returns_volatility,CSCO_returns_volatility,CRM_returns_volatility,EQT_returns_volatility,FIS_returns_volatility,ANET_returns_volatility,EXPD_returns_volatility,TRMB_returns_volatility
LUMN_returns_volatility,0.2969975057081857,0.19212686801412504,0.25455380771399655,0.21739528484026563,0.2366343816176514,0.06497756685406855,0.23472886936747028,0.290216787925539,0.29954296606628306,0.29303277028493163,0.2358154384191527,0.22645198664342645,1.0,0.287789365243567,0.1045798628593741,0.31212924989865476,0.313327011216745,0.1603264190943227,0.3024602880656539,0.35814497498086545,0.26995826877977797,0.009506046416951994,0.13750329569035738,0.24086612233546476,0.24050315023847602,0.24764691005656927,0.19881612023955672,0.10263183771859583,0.2439729642785015,0.240495380161315,0.3138782118976107,0.25300003931001674,0.24744690991588317,0.26919429873018474,0.17589475401919216,0.24576163209487856,0.17536539525313194,0.24151098357957068,0.19254190180761305,0.22768491415208486,0.238832859262078,0.24699367818448156,0.15740376511544782,0.3626752827273644,0.14101549837001207,0.1987986121303963,0.2614333847049935,0.12184577150973806,0.1543797302566682,0.24082782423355528
APA_returns_volatility,0.4410366145972861,0.3848796753255698,0.6912378283398463,0.2029357839927453,0.4986036807634683,0.18178297164979224,0.3136708461493981,0.39505583722915577,0.5691433340230707,0.2625014253581211,0.2547008046158816,0.4264454032710873,0.287789365243567,1.0,0.18122523174349753,0.714984482955722,0.4588324402337971,0.15617096673256356,0.6649101823920465,0.6115756451093107,0.37775071583978914,0.05326769098961965,0.26569264922228075,0.29030961119478943,0.39683338864204465,0.2846730913513676,0.5207154428406404,0.2544538244199836,0.6418661749661086,0.5232378279346004,0.5571040736487158,0.5534084698143429,0.46676916240811867,0.7480184618520894,0.11863170432804335,0.5316388173738545,0.09530273220412007,0.7022422286277579,0.249139931285166,0.31792632252452313,0.5394405819339746,0.13861855704405235,0.23514420467585345,0.1516250359109558,0.36805453447830355,0.4897673213990489,0.5621564877184793,0.1038594349755881,0.3690032947577213,0.49873508119360493
MSFT_returns_volatility,0.2964563343257711,0.3093221722980886,0.18781832810617083,0.09040317704801283,0.1698071371049953,0.19079857659871274,0.16220082862426313,0.3101763031973497,0.07802990663073398,0.20908530320201163,0.3317579677032898,0.26379245566144527,0.1045798628593741,0.18122523174349753,1.0,0.25914935606484785,0.17841454215294056,0.3662295822870603,0.18322984407308104,0.2948724100524882,0.23855391404580517,-0.03966552951505973,0.5072828485876504,0.3082618943472845,0.2847131979200457,0.13362559867212764,0.21235631942974037,0.3837784082646768,0.24519072429590935,0.3622565880958984,0.22782004780126694,0.1835200159375711,0.29210684987926805,0.3101888577748942,0.3153789403574351,0.1283340310633038,0.21574154586725083,0.17640044589810197,0.5033567880690561,0.2639476890345404,0.23543351445956892,0.19695162173205769,0.2933161530804131,0.28365536627841464,0.45533665261620954,0.21307450839489234,0.3803344009629591,0.24933380435244906,0.27464976271984104,0.3322593990236415
HAL_returns_volatility,0.5185574278597737,0.373710704970705,0.7828453958320329,0.22362410668437974,0.6729379202594613,0.2734776507470729,0.44475181770120525,0.5210419980078425,0.6428400294143864,0.35764989904620015,0.39431357221437086,0.5765265189111757,0.31212924989865476,0.714984482955722,0.25914935606484785,1.0,0.6239577166973874,0.22663303346312996,0.7087860073881519,0.6647102696943302,0.34536950565450397,0.043352805814223766,0.27701594414776237,0.1629996921130969,0.5855586157798917,0.28218768452507464,0.5473412826667534,0.2904558022754206,0.7178693404928653,0.6082800628234305,0.6949652009293261,0.673467159111138,0.4589802936508673,0.7823019846871722,0.24750404191208483,0.6678588935020584,0.10993575239344067,0.7563708039373763,0.2955996209161561,0.24679551430123192,0.5920911815114114,0.17036278168904398,0.2505867576894081,0.12529740158883476,0.35345640525485467,0.3687543626070765,0.6573470632846687,0.11014546782430018,0.38646572509477467,0.6581259718225624
ALK_returns_volatility,0.46710765288578193,0.3234972348543604,0.7063640881108935,0.22734564041323274,0.8496488199773276,0.331585051489046,0.40654600069258146,0.42879487810225736,0.6805521026796009,0.34114884087782593,0.38272227769998596,0.5954280967834783,0.313327011216745,0.4588324402337971,0.17841454215294056,0.6239577166973874,1.0,0.2929724057900816,0.6818269518028467,0.6113986410440178,0.29481260964591754,0.08931910697798184,0.2606816472093121,0.12753737407269866,0.517930494656542,0.21343713810892753,0.46656313470244004,0.2431282288240093,0.6572992498479586,0.5582934697351385,0.5874636605225149,0.6577051255009393,0.3569564264929463,0.5150786220460721,0.22246814219515218,0.6873574424356824,0.11905409960254276,0.6909060688287717,0.31940111766279605,0.19238125228416772,0.49250050354780295,0.05609340413659443,0.29089769186823483,0.16920428332219992,0.32374483321618264,0.2557944094855591,0.583875743004279,0.08274026285579021,0.2205948506722815,0.6230311530806395
AKAM_returns_volatility,0.24812212612635645,0.24831239092136187,0.2731357899609255,0.16300617517198698,0.25723154394629294,0.10962392156231908,0.13630711265285828,0.25178308612518313,0.2675019775346832,0.17506260769544463,0.3410919558999912,0.32055063273816203,0.1603264190943227,0.15617096673256356,0.3662295822870603,0.22663303346312996,0.2929724057900816,1.0,0.3101979442233177,0.23675352362048863,0.23681091856306338,-0.05611341615183429,0.4113486133258447,0.3019634333181298,0.299438814579291,0.09590099788184152,0.21477089877562822,0.27767566559348134,0.2873534896137982,0.37904305580953274,0.19966703662568736,0.26051839950669425,0.259941867619423,0.24100958195870137,0.2035383745538364,0.23921087227614277,0.15258643189807963,0.22185729858148281,0.2787182990000276,0.1800260753249447,0.19959944023157558,0.1610131326672804,0.2818694595520253,0.1954330914012323,0.20166071848017808,0.15358811082133136,0.3650912566240819,0.09719570777042666,0.19199409576095697,0.37844966372145716
APTV_returns_volatility,0.49391143350383565,0.24022414601102582,0.8729679299868062,0.3224077523798205,0.768165550439847,0.33152603634792566,0.4897177051113241,0.5125696006587023,0.804616109609418,0.30551025024431677,0.32728561862769945,0.6137770630805527,0.3024602880656539,0.6649101823920465,0.18322984407308104,0.7087860073881519,0.6818269518028467,0.3101979442233177,1.0,0.7093422120579786,0.1895957284076175,0.03510386918670327,0.35114879861566384,0.17815575780928616,0.5731861954618042,0.32106606915854563,0.5557820392115105,0.3567705969551048,0.7822428989654042,0.6187496756052477,0.690920276850411,0.6901152373314857,0.5027222322317606,0.6543442029134778,0.2364396618819611,0.7181701987850877,0.15071637701648374,0.8398356082580555,0.3221132965346263,0.20762563748103843,0.5089953414642022,0.07857965654815134,0.2633711597420675,0.17222810552192017,0.39010001471029,0.36774989592510515,0.7267904746640235,0.07980025111700985,0.34455479355464835,0.7392391885997239
C_returns_volatility,0.6574990342244813,0.37128901941521186,0.723281169992,0.36601071748630976,0.6680166643004365,0.22265733558951936,0.4428521224642117,0.6684953470218867,0.5938657156542052,0.3667658591386774,0.39148995242660095,0.6008979363276429,0.35814497498086545,0.6115756451093107,0.2948724100524882,0.6647102696943302,0.6113986410440178,0.23675352362048863,0.7093422120579786,1.0,0.4024635802323112,-0.034376728405625626,0.4149553017344588,0.3046559142861216,0.5488302078094722,0.46289389646311035,0.5672696819293961,0.3607769459783317,0.6179991930135275,0.568736569952405,0.7660987966679913,0.6528605900978189,0.5714446985651562,0.6761118975197403,0.2789221167703729,0.6149789459308224,0.2014898926190194,0.737839200650385,0.38359675428017526,0.2795055320280483,0.7074884956989894,0.17640959725424682,0.22444003575995142,0.2752170319354323,0.3879793222628485,0.36867292307987887,0.6259612139107259,0.1753140723700167,0.3451261565432746,0.6280006033386345
CMCSA_returns_volatility,0.3926192469415191,0.5042704673688759,0.24604190706849036,0.18716085338872196,0.26613810527653137,0.10830477359299041,0.044275038084301575,0.28664186038560435,0.14908912205613628,0.35501571899753814,0.4233703856070099,0.24841117833232165,0.26995826877977797,0.37775071583978914,0.23855391404580517,0.34536950565450397,0.29481260964591754,0.23681091856306338,0.1895957284076175,0.4024635802323112,1.0,-0.025873182812430937,0.27562421734153475,0.34124026222921794,0.20305583942886868,0.3024895615367964,0.36547391497387155,0.23964371755500755,0.3189895845398546,0.43804627877421254,0.3179774087999089,0.3373272455595521,0.2575468869539715,0.34659869776243174,0.1927982435064001,0.22915399228683955,0.2132797103629755,0.33096627196936423,0.31296019689099214,0.37338777768934894,0.44658491541190143,0.25838202232069485,0.3283644422544123,0.290109563887398,0.22842321234648263,0.279532445688255,0.30364089341821465,0.15937038051220634,0.17886050997304206,0.23281031936051827
KDP_returns_volatility,0.053151682376009604,-0.004448769889551802,0.03760391114814073,-0.034194360577831324,0.04872710110160448,0.024787241242018268,0.01068569104757434,0.08201983224005846,0.037370329102034715,0.08520766758665876,0.0030932725814962416,-0.01978557567512076,0.009506046416951994,0.05326769098961965,-0.03966552951505973,0.043352805814223766,0.08931910697798184,-0.05611341615183429,0.03510386918670327,-0.034376728405625626,-0.025873182812430937,1.0,0.0016652008592311237,0.005195272506009885,-0.03167143081434731,0.09473142491161328,-0.0290741344315027,-0.024283250207087128,-0.0009936768616677267,0.00682290594252323,0.006963526677555665,-0.01268454038160932,0.012474672136136889,-0.009518854721148258,-0.0228472987705015,0.06758463888575678,-0.03773918932882173,0.03327015859295689,-0.041498589333456064,-0.022798436143500765,-0.014558431420208082,0.03238211885502448,-0.05555983862437557,-0.05312930613306675,-0.01018352733489443,-0.017196272334493515,-0.017843101020426477,-0.04502544730102009,-0.030459044258052227,0.0034033794642109073
