,0
NTRS_returns,0.0020718063918112872
AVY_returns,0.004415583664421683
AFL_returns,0.0025690211683899373
REGN_returns,0.001776608169188325
DAL_returns,0.0018609662664855768
COO_returns,0.0031307848342251136
CME_returns,0.003327438795271685
BK_returns,0.0012614741358656708
O_returns,0.0023894420077820917
T_returns,0.0011899572032248015
PAYX_returns,0.003138376174651208
VMC_returns,0.0033704558063021336
LUMN_returns,-0.0016249651095322074
APA_returns,0.0010520691244420817
MSFT_returns,0.006255747315866738
HAL_returns,0.0008737971734748321
ALK_returns,0.0014573270162960637
AKAM_returns,0.0025100010147429174
APTV_returns,0.00455124183569538
C_returns,0.0021951600478225656
CMCSA_returns,0.002741734886441357
KDP_returns,0.018243522076070818
MPWR_returns,0.007573745435013437
A_returns,0.004323025065353432
MLM_returns,0.0035096588425493807
SCHW_returns,0.003089820942557754
PEG_returns,0.002332695456174646
NVDA_returns,0.012490092470703209
PPG_returns,0.0017552928036571522
GPN_returns,0.005822282288893854
CFG_returns,0.003126598354003336
HST_returns,0.000513779156773067
MU_returns,0.005128655539777283
DVN_returns,-0.0007278447452433911
TMUS_returns,0.0053084908578958645
UHS_returns,0.002143347989260088
ABBV_returns,0.0036371675124593755
RCL_returns,0.0045269606403075995
SNPS_returns,0.006296686079702513
BF-B_returns,0.0033154718541804707
PNC_returns,0.0028271869575529273
EQIX_returns,0.004778473783375181
BR_returns,0.004308155755503675
CSCO_returns,0.0027702879922875284
CRM_returns,0.0052585835491050035
EQT_returns,-0.0017039664500307814
FIS_returns,0.0032523355161746537
ANET_returns,0.00670057496549709
EXPD_returns,0.0030930435226540548
TRMB_returns,0.004376053582520127
